STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
71508099999,"TORONTO CITY ONT, CA",2020-01-01,0.01,,33.3,29.3
71508099999,"TORONTO CITY ONT, CA",2020-01-02,0,,42.8,29.3
71508099999,"TORONTO CITY ONT, CA",2020-01-03,0,,45.9,33.6
71508099999,"TORONTO CITY ONT, CA",2020-01-04,0.06,,45.9,33.3
71508099999,"TORONTO CITY ONT, CA",2020-01-05,0.01,,38.5,29.8
71508099999,"TORONTO CITY ONT, CA",2020-01-06,0.22,,36.9,31.5
71508099999,"TORONTO CITY ONT, CA",2020-01-07,0,,38.8,26.8
71508099999,"TORONTO CITY ONT, CA",2020-01-08,0.06,,37.4,20.7
71508099999,"TORONTO CITY ONT, CA",2020-01-09,0,,33.3,14.4
71508099999,"TORONTO CITY ONT, CA",2020-01-10,0,,45,30.4
71508099999,"TORONTO CITY ONT, CA",2020-01-11,0.8,,53.2,37.9
71508099999,"TORONTO CITY ONT, CA",2020-01-12,1.93,,53.2,22.6
71508099999,"TORONTO CITY ONT, CA",2020-01-13,0.01,,36,22.6
71508099999,"TORONTO CITY ONT, CA",2020-01-14,0,,36.5,23.9
71508099999,"TORONTO CITY ONT, CA",2020-01-15,0,,40.3,33.8
71508099999,"TORONTO CITY ONT, CA",2020-01-16,0,,38.5,25.9
71508099999,"TORONTO CITY ONT, CA",2020-01-17,0,,36.5,7.5
71508099999,"TORONTO CITY ONT, CA",2020-01-18,0.21,,32,17.8
71508099999,"TORONTO CITY ONT, CA",2020-01-19,0.44,,36.3,17.4
71508099999,"TORONTO CITY ONT, CA",2020-01-20,0.01,,34.3,8.2
71508099999,"TORONTO CITY ONT, CA",2020-01-21,0.02,,28.8,8.2
71508099999,"TORONTO CITY ONT, CA",2020-01-22,0,,34.2,22.6
71508099999,"TORONTO CITY ONT, CA",2020-01-23,0.01,,37.9,28
71508099999,"TORONTO CITY ONT, CA",2020-01-24,0.01,,38.3,27.5
71508099999,"TORONTO CITY ONT, CA",2020-01-25,1.12,,39,34.2
71508099999,"TORONTO CITY ONT, CA",2020-01-26,0.02,,39.2,35.1
71508099999,"TORONTO CITY ONT, CA",2020-01-27,0.05,,39.2,33.8
71508099999,"TORONTO CITY ONT, CA",2020-01-28,0.01,,35.8,31.1
71508099999,"TORONTO CITY ONT, CA",2020-01-29,0.01,,36.5,20.1
71508099999,"TORONTO CITY ONT, CA",2020-01-30,0,,30.2,20.1
71508099999,"TORONTO CITY ONT, CA",2020-01-31,0,,32.2,27.1
71508099999,"TORONTO CITY ONT, CA",2020-02-01,0,,34.2,27.1
71508099999,"TORONTO CITY ONT, CA",2020-02-02,0.25,,35.1,29.3
71508099999,"TORONTO CITY ONT, CA",2020-02-03,0.08,,43.5,31.8
71508099999,"TORONTO CITY ONT, CA",2020-02-04,0.01,,39,34.5
71508099999,"TORONTO CITY ONT, CA",2020-02-05,0,,37.8,19.4
71508099999,"TORONTO CITY ONT, CA",2020-02-06,0.19,,27.9,19.4
71508099999,"TORONTO CITY ONT, CA",2020-02-07,0.21,,27.5,22.5
